time,x,y,z,nearby_separation
0.0,1.0,1.0,1.0,9.999999999177334e-07
0.004999999888241291,1.0035725260673531,1.1298597281305913,0.9920998687366165,9.632984294208319e-07
0.009999999776482582,1.0130390267675091,1.260001104873511,0.9849571420861728,9.529757377978471e-07
0.014999999664723873,1.0282312560781977,1.3911639618274019,0.9786192781110712,9.547856199803866e-07
0.019999999552965164,1.0490959178684058,1.52411952961365,0.9731605336680584,9.783759205634846e-07
0.02499999850988388,1.0755593678135813,1.6596552748211106,0.9686651956704051,1.0527805214688925e-06
0.029999999329447746,1.107536742810362,1.7985508911907744,0.9652275482475274,1.1089152682228247e-06
0.03500000014901161,1.1449347024934746,1.9415506464509884,0.9629500387084989,1.1441511548353105e-06
0.03999999910593033,1.1876484176745592,2.0893308082972,0.9619388568442838,1.2756395925592524e-06
0.044999998062849045,1.2355522123890066,2.2424593464010742,0.9622956014043389,1.3986697720505697e-06
0.04999999701976776,1.2884899307165034,2.4013535552375016,0.964105371380971,1.4864825577416542e-06
0.054999999701976776,1.3462224650776122,2.566181750836895,0.9674050179462551,1.59946526501456e-06
0.05999999865889549,1.410340575243544,2.739657872629318,0.9728912248338052,1.589699151169302e-06
0.06499999761581421,1.4802630575075906,2.921744880605803,0.9806113981737004,1.6883678787232922e-06
0.07000000029802322,1.554779967814798,3.1109534281415807,0.9902246685566694,1.8618490051578322e-06
0.07499999552965164,1.6352363855123846,3.309667478859744,1.0024075367847447,1.916068557885502e-06
0.07999999821186066,1.723126764456159,3.5210382410157632,1.0182046845219654,2.0425663059102388e-06
0.08500000089406967,1.815057209043116,3.739460294333263,1.0360869968206134,2.196112210490127e-06
0.08999999612569809,1.9154399893227507,3.9729967848056886,1.0585851802991113,2.2911546244563923e-06
0.0949999988079071,2.0220472566800036,4.218090170336984,1.0848976156515482,2.596111882855462e-06
0.09999999403953552,2.13400152546969,4.473111104951743,1.1144867064959856,2.4860055756893756e-06
0.10499999672174454,2.256641154768984,4.748521673402835,1.1514135054266574,2.746303660139389e-06
0.10999999940395355,2.382912973762806,5.03091960087215,1.1909638296876601,3.063934501817149e-06
0.11499999463558197,2.5215612332891073,5.337375550569354,1.2400237483174699,2.995489471321905e-06
0.11999999731779099,2.665906395765783,5.655027170582028,1.2939740902194339,3.2374410064570264e-06
0.125,2.8198229870689957,5.9914886692134735,1.3561410694358156,2.8421570144718713e-06
0.12999999523162842,2.9841633810426456,6.3485230000307595,1.428294750184608,3.07476123274436e-06
0.13499999046325684,3.1547645395189012,6.717913850281696,1.5064465971138472,2.9776413929302775e-06
0.14000000059604645,3.3412391160047012,7.1185777288724275,1.6015596447362703,4.057241361165012e-06
0.14499999582767487,3.532279219129886,7.528202943239118,1.7018235430260171,5.369402146383751e-06
0.14999999105930328,3.7410223398546947,7.972438657559327,1.823184526200029,5.215897769162114e-06
0.1550000011920929,3.957254782078574,8.431114135550976,1.9545040523108672,5.586139763352335e-06
0.1599999964237213,4.187716782220711,8.917224507727452,2.104745960181224,4.537554927588016e-06
0.16499999165534973,4.431691775111436,9.428845885066286,2.2750589555235994,4.669594868262011e-06
0.17000000178813934,4.685768837575523,9.959538984293452,2.460376151379258,4.488690958486861e-06
0.17499999701976776,4.960137526623289,10.527419125037488,2.6794068600375542,5.130645610525116e-06
0.17999999225139618,5.240221503191212,11.105738050202758,2.9080293817884058,5.829453126763726e-06
0.1850000023841858,5.5471617017756,11.73130566838254,3.186649387645209,6.904556550735573e-06
0.1899999976158142,5.861276529589407,12.368810566259086,3.480267825330762,8.48622620386469e-06
0.19499999284744263,6.19711128120172,13.042454526282972,3.819288035686517,6.96369219193848e-06
0.19999998807907104,6.54790455755805,13.739146570684795,4.1935009895490225,6.987561628335297e-06
0.20499999821186066,6.9137899791515425,14.459093042394647,4.603219724092267,6.822873381067458e-06
0.20999999344348907,7.303502799879075,15.211982391425911,5.076224041072483,9.06360814915113e-06
0.2149999886751175,7.702866757209007,15.977645840852956,5.575850741314207,1.179001222487797e-05
0.2199999988079071,8.130224108533918,16.776291544764256,6.159767749095942,1.1552308924471603e-05
0.22499999403953552,8.570939545502151,17.58709271807432,6.789598720784446,1.183802311344559e-05
0.22999998927116394,9.028579734299054,18.413296479837527,7.477599519977331,9.509869046494794e-06
0.23499999940395355,9.510238700012692,19.25266981179616,8.260862831908577,1.0138147888553485e-05
0.23999999463558197,10.003222502478595,20.09509781460047,9.09333208064426,1.0979052869697435e-05
0.2449999898672104,10.517475445160132,20.938292969155306,10.024968333811653,1.0777146172312048e-05
0.25,11.047325189308596,21.769796679939446,11.044958091133186,1.4924662192705155e-05
0.2549999952316284,11.586588639824047,22.593964285676478,12.118616199893728,2.1711970180567837e-05
0.25999999046325684,12.146599192387008,23.373815559947317,13.344662415007944,2.1260647891867624e-05
0.26499998569488525,12.711575898544273,24.127345417526065,14.625544162531577,2.0873905884728116e-05
0.26999998092651367,13.286360310693743,24.828893451310684,16.014720349179544,1.5011269365913093e-05
0.2750000059604645,13.864887428144948,25.464627576132667,17.497934373214523,1.4144724935570544e-05
0.2800000011920929,14.444715241664133,26.027028623202174,19.071380536430954,1.7982532194830118e-05
0.2849999964237213,15.02280541024979,26.507845761730305,20.72904665694028,2.7768216381684552e-05
0.28999999165534973,15.59111886870966,26.852960800958016,22.491424034535576,1.8686528052863317e-05
0.29499998688697815,16.14617309157065,27.07922477652887,24.32138010336002,1.7861991174243207e-05
0.29999998211860657,16.682378220124612,27.16831759942275,26.211343383103603,1.8756081709464767e-05
